target,feature,horizon,threshold,n,n_pos,base_rate,auc,auc_ci_lo,auc_ci_hi,discrim,direction,pos_median,neg_median,top_q_wr,bot_q_wr,coverage
p_gain_10pct,f_higher_lows_3m,fwd_max_max,0.1,1877,174,0.09270111880660628,0.5145,0.471,0.5496,0.0145,+,1.0,1.0,9.71,8.72,0.476
p_gain_5pct_5m,f_bid_depth_usd,fwd_max_5m,0.05,1655,271,0.1637462235649547,0.5144,0.4765,0.5519,0.0144,+,5688.08,4826.405,15.38,13.29,0.42
p_gain_3pct_5m,f_market_breadth_5m,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.4875,0.4579,0.5164,0.0125,-,4.0,4.0,22.76,25.86,0.476
p_gain_10pct,f_large_trade_pct_60s,fwd_max_max,0.1,1877,174,0.09270111880660628,0.5124,0.4779,0.5449,0.0124,+,0.0,0.0,9.27,9.0,0.476
p_gain_5pct_max,f_first_signal_today,fwd_max_max,0.05,1877,408,0.21736814064997337,0.5123,0.4939,0.5286,0.0123,+,0.0,0.0,21.74,21.26,0.476
p_gain_2pct_max,f_large_trade_pct_60s,fwd_max_max,0.02,1877,819,0.43633457645178475,0.5121,0.4951,0.5289,0.0121,+,0.0,0.0,43.63,42.82,0.476
p_gain_5pct_5m,f_signals_24h,fwd_max_5m,0.05,3776,429,0.11361228813559322,0.488,0.4549,0.5132,0.012,-,14.0,15.0,11.86,12.21,0.958
p_gain_5pct_max,f_vwap_300s,fwd_max_max,0.05,1877,408,0.21736814064997337,0.5118,0.4816,0.5473,0.0118,+,0.10869271,0.09491305,20.0,21.06,0.476
p_gain_2pct_max,f_first_signal_today,fwd_max_max,0.02,1877,819,0.43633457645178475,0.4884,0.4741,0.5021,0.0116,-,0.0,0.0,43.63,44.29,0.476
p_gain_5pct_5m,f_utc_hour,fwd_max_5m,0.05,3776,429,0.11361228813559322,0.5111,0.4833,0.5382,0.0111,+,10.0,10.0,13.3,11.34,0.958
p_gain_2pct_max,f_candle_close_str_1m,fwd_max_max,0.02,1877,819,0.43633457645178475,0.4899,0.4642,0.5175,0.0101,-,0.871,0.89,40.73,43.62,0.476
p_gain_2pct_max,f_book_imbalance_10,fwd_max_max,0.02,3371,1370,0.40640759418570155,0.5099,0.4891,0.528,0.0099,+,0.865,0.866,41.25,38.65,0.855
p_gain_5pct_max,f_bid_depth_usd,fwd_max_max,0.05,1655,372,0.22477341389728098,0.5098,0.4762,0.5411,0.0098,+,5297.74,4882.96,21.88,18.84,0.42
