target,feature,horizon,threshold,n,n_pos,base_rate,auc,auc_ci_lo,auc_ci_hi,discrim,direction,pos_median,neg_median,top_q_wr,bot_q_wr,coverage
p_gain_5pct_max,f_rank_60s,fwd_max_max,0.05,2941,522,0.17749064943896634,0.4528,0.4318,0.4788,0.0472,-,1.0,1.0,14.21,19.94,0.746
p_gain_10pct,f_ret_24h,fwd_max_max,0.1,3776,224,0.059322033898305086,0.5454,0.5117,0.5848,0.0454,+,0.38428,0.3206,7.62,4.02,0.958
p_gain_2pct_max,f_signals_1h,fwd_max_max,0.02,3776,1474,0.3903601694915254,0.5451,0.5265,0.5647,0.0451,+,6.0,5.0,42.25,34.76,0.958
p_gain_5pct_5m,f_avg_trade_size_60s,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.5443,0.5052,0.5782,0.0443,+,149.20499999999998,138.83,18.51,14.47,0.476
p_gain_3pct_5m,f_avg_trade_size_60s,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.5418,0.5103,0.5689,0.0418,+,143.81,138.85500000000002,27.23,21.28,0.476
p_gain_30pct,f_vwap_300s,fwd_max_max,0.3,1877,21,0.011188066062866276,0.5418,0.4461,0.626,0.0418,+,0.17191126,0.10039163,0.85,0.64,0.476
p_gain_1pct_5m,f_btc_dom_pct,fwd_max_5m,0.01,3770,1661,0.4405835543766578,0.5399,0.5198,0.5563,0.0399,+,57.23,57.21,53.46,43.85,0.956
p_gain_5pct_5m,f_cg_trending,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.4602,0.4286,0.4876,0.0398,-,0.0,0.0,13.28,17.67,0.476
p_gain_2pct_5m,f_vwap_300s,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.4603,0.4352,0.4885,0.0397,-,0.09684268,0.10610508,22.77,35.53,0.476
p_gain_3pct_5m,f_rank_60s,fwd_max_5m,0.03,2941,628,0.21353281196871812,0.4603,0.4384,0.4851,0.0397,-,1.0,1.0,18.29,23.25,0.746
p_gain_2pct_5m,f_ask_depth_trend,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.4605,0.4302,0.4849,0.0395,-,0.9904999999999999,1.0,31.91,40.13,0.476
p_gain_1pct_5m,f_higher_lows_3m,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.5393,0.5179,0.5626,0.0393,+,1.0,1.0,52.52,44.55,0.476
p_gain_2pct_max,f_ask_depth_usd,fwd_max_max,0.02,1655,748,0.45196374622356494,0.4611,0.4353,0.4873,0.0389,-,3923.6099999999997,4778.14,38.16,50.23,0.42
p_gain_1pct_5m,f_bid_depth_usd,fwd_max_5m,0.01,1655,842,0.508761329305136,0.5382,0.5141,0.5644,0.0382,+,5792.06,4508.4,52.4,42.27,0.42
p_gain_10pct,f_cvd_30s,fwd_max_max,0.1,3776,224,0.059322033898305086,0.4619,0.4276,0.5026,0.0381,-,-549.7950000000001,-52.445,6.04,6.98,0.958
p_gain_1pct_5m,f_secs_since_onset,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.5369,0.5117,0.5642,0.0369,+,6.4,5.4,48.2,38.69,0.476
p_gain_3pct_5m,f_vwap_300s,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.4631,0.4363,0.4943,0.0369,-,0.09953614,0.1034085,16.6,27.45,0.476
p_gain_30pct,f_ask_depth_trend,fwd_max_max,0.3,1877,21,0.011188066062866276,0.5367,0.4294,0.6474,0.0367,+,1.0,1.0,1.49,0.85,0.476
p_gain_3pct_5m,f_higher_lows_3m,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.5366,0.5124,0.5648,0.0366,+,1.0,1.0,26.07,20.7,0.476
p_gain_5pct_max,f_large_trade_pct_60s,fwd_max_max,0.05,1877,408,0.21736814064997337,0.5363,0.5154,0.558,0.0363,+,0.0,0.0,21.74,20.12,0.476
p_gain_5pct_5m,f_higher_lows_3m,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.5362,0.5076,0.5655,0.0362,+,1.0,1.0,17.6,13.68,0.476
p_gain_2pct_max,f_ask_depth_trend,fwd_max_max,0.02,1877,819,0.43633457645178475,0.4649,0.4383,0.4875,0.0351,-,0.995,1.0,43.19,50.96,0.476
p_gain_5pct_5m,f_vwap_300s,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.465,0.4295,0.4984,0.035,-,0.10056918000000001,0.10130703,10.85,18.94,0.476
p_gain_2pct_5m,f_candle_close_str_1m,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.5346,0.5087,0.5595,0.0346,+,0.9,0.873,33.64,26.17,0.476
p_gain_2pct_5m,f_higher_lows_3m,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.5345,0.5113,0.5579,0.0345,+,1.0,1.0,35.2,29.06,0.476
p_gain_10pct,f_market_breadth_5m,fwd_max_max,0.1,1877,174,0.09270111880660628,0.5342,0.4873,0.5774,0.0342,+,4.0,4.0,11.22,8.49,0.476
p_gain_5pct_max,f_avg_trade_size_60s,fwd_max_max,0.05,1877,408,0.21736814064997337,0.534,0.4976,0.5668,0.034,+,145.20499999999998,138.17,24.68,20.64,0.476
p_gain_10pct,f_candle_close_str_1m,fwd_max_max,0.1,1877,174,0.09270111880660628,0.5322,0.4895,0.577,0.0322,+,0.93,0.875,9.82,8.3,0.476
p_gain_30pct,f_first_signal_today,fwd_max_max,0.3,1877,21,0.011188066062866276,0.5317,0.4633,0.6132,0.0317,+,0.0,0.0,1.12,1.04,0.476
p_gain_30pct,f_large_trade_pct_60s,fwd_max_max,0.3,1877,21,0.011188066062866276,0.4687,0.4074,0.551,0.0313,-,0.0,0.0,1.12,1.19,0.476
p_gain_1pct_5m,f_rank_60s,fwd_max_5m,0.01,2941,1440,0.48962937776266574,0.4689,0.4507,0.4879,0.0311,-,1.0,1.0,45.29,51.24,0.746
p_gain_2pct_5m,f_avg_trade_size_60s,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.5311,0.5014,0.5604,0.0311,+,141.67,140.69,35.11,28.72,0.476
p_gain_1pct_5m,f_utc_hour,fwd_max_5m,0.01,3776,1666,0.4412076271186441,0.4695,0.4504,0.4871,0.0305,-,9.0,11.0,40.64,47.76,0.958
p_gain_2pct_max,f_cvd_60s,fwd_max_max,0.02,3776,1474,0.3903601694915254,0.4707,0.4509,0.4883,0.0293,-,-858.44,-10.34,38.79,43.01,0.958
p_gain_2pct_max,f_spread_bps,fwd_max_max,0.02,3809,1487,0.39039117878708324,0.4708,0.4522,0.4883,0.0292,-,11.0,13.0,36.79,41.38,0.966
p_gain_2pct_5m,f_cg_trending,fwd_max_5m,0.02,1877,610,0.32498668087373467,0.4714,0.4455,0.4995,0.0286,-,0.0,0.0,29.43,34.63,0.476
p_gain_5pct_max,f_candle_close_str_1m,fwd_max_max,0.05,1877,408,0.21736814064997337,0.5286,0.4977,0.558,0.0286,+,0.915,0.871,22.18,19.15,0.476
p_gain_1pct_5m,f_cg_trending,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.4729,0.4496,0.4953,0.0271,-,0.0,0.0,45.7,51.31,0.476
p_gain_1pct_5m,f_vwap_300s,fwd_max_5m,0.01,1877,920,0.49014384656366544,0.4732,0.4466,0.5009,0.0268,-,0.09684268,0.10820189,40.21,50.64,0.476
p_gain_3pct_5m,f_cg_trending,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.4734,0.4471,0.4977,0.0266,-,0.0,0.0,21.35,25.34,0.476
p_gain_5pct_5m,f_large_trade_pct_60s,fwd_max_5m,0.05,1877,298,0.15876398508257858,0.5261,0.501,0.55,0.0261,+,0.0,0.0,15.88,14.89,0.476
p_gain_3pct_5m,f_secs_since_onset,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.5254,0.4956,0.5548,0.0254,+,6.0,5.7,21.87,16.47,0.476
p_gain_3pct_5m,f_signals_24h,fwd_max_5m,0.03,3776,701,0.18564618644067796,0.5253,0.5006,0.5471,0.0253,+,16.0,14.0,21.62,16.35,0.958
p_gain_10pct,f_bid_depth_usd,fwd_max_max,0.1,1655,155,0.09365558912386707,0.4752,0.4293,0.5197,0.0248,-,4116.44,5133.785,8.17,10.39,0.42
p_gain_2pct_max,f_cvd_30s,fwd_max_max,0.02,3776,1474,0.3903601694915254,0.4755,0.4546,0.4938,0.0245,-,-219.72000000000003,-16.53,38.98,41.12,0.958
p_gain_3pct_5m,f_large_trade_pct_60s,fwd_max_5m,0.03,1877,445,0.2370804475226425,0.5237,0.5058,0.5437,0.0237,+,0.0,0.0,23.71,22.44,0.476
p_gain_10pct,f_ask_depth_usd,fwd_max_max,0.1,1655,155,0.09365558912386707,0.4763,0.4256,0.5291,0.0237,-,3800.81,4547.23,8.94,10.65,0.42
p_gain_30pct,f_market_breadth_5m,fwd_max_max,0.3,1877,21,0.011188066062866276,0.5236,0.4496,0.5994,0.0236,+,4.0,4.0,0.81,0.66,0.476
p_gain_2pct_5m,f_utc_hour,fwd_max_5m,0.02,3776,999,0.2645656779661017,0.4765,0.4547,0.4962,0.0235,-,9.0,10.0,24.81,27.06,0.958
