threshold,feat_a,label_a,feat_b,label_b,n,n_pos,rate,lift,wilson_lo,wilson_hi,wilson_lo_lift
0.1,f_book_imbalance_10,<0.613,f_btc_dom_pct,<56.94,181,4,0.0221,0.37,0.0086,0.0554,0.14
0.1,f_book_imbalance_10,<0.613,f_btc_dom_pct,[56.94,57.23),163,6,0.0368,0.62,0.017,0.078,0.28
0.1,f_book_imbalance_10,<0.613,f_btc_dom_pct,[57.23,57.33),220,20,0.0909,1.52,0.0596,0.1362,1.0
0.1,f_book_imbalance_10,<0.613,f_btc_dom_pct,>=57.33,301,22,0.0731,1.22,0.0488,0.1082,0.82
0.1,f_book_imbalance_10,[0.613,0.882),f_btc_dom_pct,<56.94,453,10,0.0221,0.37,0.012,0.0402,0.2
0.1,f_book_imbalance_10,[0.613,0.882),f_btc_dom_pct,[56.94,57.23),251,20,0.0797,1.33,0.0522,0.1199,0.87
0.1,f_book_imbalance_10,[0.613,0.882),f_btc_dom_pct,[57.23,57.33),90,2,0.0222,0.37,0.0061,0.0774,0.1
0.1,f_book_imbalance_10,[0.613,0.882),f_btc_dom_pct,>=57.33,79,6,0.0759,1.27,0.0353,0.156,0.59
0.1,f_book_imbalance_10,[0.882,2.024),f_btc_dom_pct,<56.94,117,4,0.0342,0.57,0.0134,0.0846,0.22
0.1,f_book_imbalance_10,[0.882,2.024),f_btc_dom_pct,[56.94,57.23),208,25,0.1202,2.01,0.0828,0.1714,1.39
0.1,f_book_imbalance_10,[0.882,2.024),f_btc_dom_pct,[57.23,57.33),255,13,0.051,0.85,0.03,0.0853,0.5
0.1,f_book_imbalance_10,[0.882,2.024),f_btc_dom_pct,>=57.33,287,28,0.0976,1.63,0.0684,0.1374,1.15
0.1,f_book_imbalance_10,>=2.024,f_btc_dom_pct,<56.94,151,3,0.0199,0.33,0.0068,0.0568,0.11
0.1,f_book_imbalance_10,>=2.024,f_btc_dom_pct,[56.94,57.23),239,11,0.046,0.77,0.0259,0.0805,0.43
0.1,f_book_imbalance_10,>=2.024,f_btc_dom_pct,[57.23,57.33),224,17,0.0759,1.27,0.0479,0.1182,0.8
0.1,f_book_imbalance_10,>=2.024,f_btc_dom_pct,>=57.33,253,28,0.1107,1.85,0.0777,0.1553,1.3
0.1,f_book_imbalance_10,<0.613,f_btc_ret_1h,f_btc_ret_1h=F,866,53,0.0612,1.03,0.0471,0.0792,0.79
0.1,f_book_imbalance_10,[0.613,0.882),f_btc_ret_1h,f_btc_ret_1h=F,873,38,0.0435,0.73,0.0319,0.0592,0.53
0.1,f_book_imbalance_10,[0.882,2.024),f_btc_ret_1h,f_btc_ret_1h=F,870,70,0.0805,1.35,0.0642,0.1004,1.08
0.1,f_book_imbalance_10,>=2.024,f_btc_ret_1h,f_btc_ret_1h=F,870,59,0.0678,1.14,0.0529,0.0865,0.89
0.1,f_book_imbalance_10,<0.613,f_cvd_30s,<-4385,229,24,0.1048,1.76,0.0714,0.1512,1.2
0.1,f_book_imbalance_10,<0.613,f_cvd_30s,[-4385,-85.94),185,9,0.0486,0.81,0.0258,0.0899,0.43
0.1,f_book_imbalance_10,<0.613,f_cvd_30s,[-85.94,772.5),230,9,0.0391,0.66,0.0207,0.0727,0.35
0.1,f_book_imbalance_10,<0.613,f_cvd_30s,>=772.5,222,11,0.0495,0.83,0.0279,0.0865,0.47
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_30s,<-4385,248,12,0.0484,0.81,0.0279,0.0827,0.47
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_30s,[-4385,-85.94),244,10,0.041,0.69,0.0224,0.0738,0.38
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_30s,[-85.94,772.5),202,7,0.0347,0.58,0.0169,0.0698,0.28
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_30s,>=772.5,179,9,0.0503,0.84,0.0267,0.0928,0.45
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_30s,<-4385,216,21,0.0972,1.63,0.0645,0.1441,1.08
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_30s,[-4385,-85.94),243,21,0.0864,1.45,0.0572,0.1285,0.96
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_30s,[-85.94,772.5),201,13,0.0647,1.08,0.0382,0.1075,0.64
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_30s,>=772.5,210,15,0.0714,1.2,0.0438,0.1145,0.73
0.1,f_book_imbalance_10,>=2.024,f_cvd_30s,<-4385,193,13,0.0674,1.13,0.0398,0.1118,0.67
0.1,f_book_imbalance_10,>=2.024,f_cvd_30s,[-4385,-85.94),203,12,0.0591,0.99,0.0341,0.1005,0.57
0.1,f_book_imbalance_10,>=2.024,f_cvd_30s,[-85.94,772.5),205,19,0.0927,1.55,0.0601,0.1402,1.01
0.1,f_book_imbalance_10,>=2.024,f_cvd_30s,>=772.5,269,15,0.0558,0.93,0.0341,0.09,0.57
0.1,f_book_imbalance_10,<0.613,f_cvd_60s,<-6420,249,22,0.0884,1.48,0.0591,0.1301,0.99
0.1,f_book_imbalance_10,<0.613,f_cvd_60s,[-6420,-329.8),165,13,0.0788,1.32,0.0466,0.1301,0.78
0.1,f_book_imbalance_10,<0.613,f_cvd_60s,[-329.8,1203),216,7,0.0324,0.54,0.0158,0.0654,0.26
0.1,f_book_imbalance_10,<0.613,f_cvd_60s,>=1203,236,11,0.0466,0.78,0.0262,0.0815,0.44
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_60s,<-6420,232,11,0.0474,0.79,0.0267,0.0829,0.45
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_60s,[-6420,-329.8),258,15,0.0581,0.97,0.0355,0.0937,0.6
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_60s,[-329.8,1203),189,6,0.0317,0.53,0.0146,0.0675,0.25
0.1,f_book_imbalance_10,[0.613,0.882),f_cvd_60s,>=1203,194,6,0.0309,0.52,0.0142,0.0658,0.24
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_60s,<-6420,217,23,0.106,1.78,0.0717,0.154,1.2
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_60s,[-6420,-329.8),237,18,0.0759,1.27,0.0486,0.1168,0.81
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_60s,[-329.8,1203),216,11,0.0509,0.85,0.0287,0.0889,0.48
0.1,f_book_imbalance_10,[0.882,2.024),f_cvd_60s,>=1203,200,18,0.09,1.51,0.0577,0.1378,0.97
0.1,f_book_imbalance_10,>=2.024,f_cvd_60s,<-6420,190,13,0.0684,1.15,0.0404,0.1135,0.68
