threshold,feat_a,label_a,feat_b,label_b,n,n_pos,rate,lift,wilson_lo,wilson_hi,wilson_lo_lift
0.1,f_ask_depth_trend,<0.8085,f_ask_depth_usd,<2330,59,3,0.0508,0.46,0.0174,0.1392,0.16
0.1,f_ask_depth_trend,<0.8085,f_ask_depth_usd,[2330,5221),30,2,0.0667,0.6,0.0185,0.2132,0.17
0.1,f_ask_depth_trend,[0.8085,1),f_ask_depth_usd,[2330,5221),31,6,0.1935,1.76,0.0919,0.3628,0.83
0.1,f_ask_depth_trend,[0.8085,1),f_ask_depth_usd,[5221,1.243e+04),32,5,0.1562,1.42,0.0686,0.3175,0.62
0.1,f_ask_depth_trend,[0.8085,1),f_ask_depth_usd,>=1.243e+04,44,4,0.0909,0.82,0.0359,0.2116,0.33
0.1,f_ask_depth_trend,[1,1.106),f_ask_depth_usd,[5221,1.243e+04),37,4,0.1081,0.98,0.0429,0.2471,0.39
0.1,f_ask_depth_trend,[1,1.106),f_ask_depth_usd,>=1.243e+04,35,6,0.1714,1.55,0.081,0.3268,0.73
0.1,f_ask_depth_trend,>=1.106,f_ask_depth_usd,[2330,5221),38,1,0.0263,0.24,0.0047,0.135,0.04
0.1,f_ask_depth_trend,>=1.106,f_ask_depth_usd,[5221,1.243e+04),33,2,0.0606,0.55,0.0168,0.1961,0.15
0.1,f_ask_depth_trend,>=1.106,f_ask_depth_usd,>=1.243e+04,34,7,0.2059,1.87,0.1035,0.368,0.94
0.1,f_ask_depth_trend,<0.8085,f_avg_trade_size_60s,<81.58,33,2,0.0606,0.55,0.0168,0.1961,0.15
0.1,f_ask_depth_trend,<0.8085,f_avg_trade_size_60s,[81.58,129.6),34,4,0.1176,1.07,0.0467,0.2662,0.42
0.1,f_ask_depth_trend,<0.8085,f_avg_trade_size_60s,[129.6,209.4),31,1,0.0323,0.29,0.0057,0.1619,0.05
0.1,f_ask_depth_trend,<0.8085,f_avg_trade_size_60s,>=209.4,36,4,0.1111,1.01,0.0441,0.2532,0.4
0.1,f_ask_depth_trend,[0.8085,1),f_avg_trade_size_60s,[81.58,129.6),35,6,0.1714,1.55,0.081,0.3268,0.73
0.1,f_ask_depth_trend,[0.8085,1),f_avg_trade_size_60s,[129.6,209.4),38,4,0.1053,0.95,0.0417,0.2413,0.38
0.1,f_ask_depth_trend,[0.8085,1),f_avg_trade_size_60s,>=209.4,35,7,0.2,1.81,0.1004,0.3589,0.91
0.1,f_ask_depth_trend,[1,1.106),f_avg_trade_size_60s,<81.58,34,1,0.0294,0.27,0.0052,0.1492,0.05
0.1,f_ask_depth_trend,[1,1.106),f_avg_trade_size_60s,[81.58,129.6),36,6,0.1667,1.51,0.0787,0.3189,0.71
0.1,f_ask_depth_trend,[1,1.106),f_avg_trade_size_60s,[129.6,209.4),33,3,0.0909,0.82,0.0314,0.2357,0.28
0.1,f_ask_depth_trend,[1,1.106),f_avg_trade_size_60s,>=209.4,32,8,0.25,2.27,0.1325,0.4211,1.2
0.1,f_ask_depth_trend,>=1.106,f_avg_trade_size_60s,<81.58,44,2,0.0455,0.41,0.0126,0.1514,0.11
0.1,f_ask_depth_trend,>=1.106,f_avg_trade_size_60s,[129.6,209.4),32,4,0.125,1.13,0.0497,0.2807,0.45
0.1,f_ask_depth_trend,>=1.106,f_avg_trade_size_60s,>=209.4,31,4,0.129,1.17,0.0513,0.2885,0.47
0.1,f_ask_depth_trend,<0.8085,f_bid_depth_usd,<3340,32,1,0.0312,0.28,0.0055,0.1574,0.05
0.1,f_ask_depth_trend,<0.8085,f_bid_depth_usd,[3340,7044),37,2,0.0541,0.49,0.015,0.177,0.14
0.1,f_ask_depth_trend,<0.8085,f_bid_depth_usd,>=1.655e+04,35,4,0.1143,1.04,0.0454,0.2595,0.41
0.1,f_ask_depth_trend,[0.8085,1),f_bid_depth_usd,[3340,7044),32,2,0.0625,0.57,0.0173,0.2015,0.16
0.1,f_ask_depth_trend,[0.8085,1),f_bid_depth_usd,[7044,1.655e+04),34,2,0.0588,0.53,0.0163,0.1909,0.15
0.1,f_ask_depth_trend,[0.8085,1),f_bid_depth_usd,>=1.655e+04,36,7,0.1944,1.76,0.0975,0.3503,0.88
0.1,f_ask_depth_trend,[1,1.106),f_bid_depth_usd,<3340,35,4,0.1143,1.04,0.0454,0.2595,0.41
0.1,f_ask_depth_trend,[1,1.106),f_bid_depth_usd,[7044,1.655e+04),37,5,0.1351,1.23,0.0591,0.2798,0.54
0.1,f_ask_depth_trend,>=1.106,f_bid_depth_usd,<3340,38,0,0.0,0.0,0.0,0.0918,0.0
0.1,f_ask_depth_trend,>=1.106,f_bid_depth_usd,[3340,7044),33,1,0.0303,0.27,0.0054,0.1532,0.05
0.1,f_ask_depth_trend,>=1.106,f_bid_depth_usd,[7044,1.655e+04),30,6,0.2,1.81,0.095,0.3731,0.86
0.1,f_ask_depth_trend,>=1.106,f_bid_depth_usd,>=1.655e+04,32,6,0.1875,1.7,0.0889,0.3531,0.81
0.1,f_ask_depth_trend,<0.8085,f_bn_oi_delta_60s,f_bn_oi_delta_60s=F,87,8,0.092,0.83,0.0473,0.1711,0.43
